process,arrivals_count,ia_mean_empirical,ia_var_empirical,ia_cv_empirical,ia_mean_theory,ia_var_theory,ia_cv_theory,counts_mean_empirical,counts_var_empirical,counts_mean_theory,counts_var_theory_poisson
Poisson (exp IA),972,1.0286123873731987,1.078457770506218,1.0096011157309965,1.0,1.0,1.0,0.972,0.93415015015015,1.0,1.0
Erlang (k=3),1045,0.9562978083877733,0.31928739600415,0.5908778730314722,1.0,0.3333333333333333,0.5773502691896257,1.045,0.4994744744744744,1.0,
